backup_path,category,extension,size_bytes,sha256,sensitive,publishable,duplicate_of,target_tour,alt_text
Pakse city.mp4,video,.mp4,232230849,90cfce8367d5493c9a2a620189d20627e90279b9124ddc0e1c02dd9d88c2628e,no,yes,,,
Vat Phou Mekong Cruise from Heimo Aga.MP4,video,.mp4,96075345,2310b76705e5b7668ce683e1990b8a896b7a2087e4d5b30a7153897f3255cfd9,no,yes,,,
OneDrive-2018-07-18 (1).zip,archive,.zip,62933986,4f3238e26dafed7623c18e60a30bae115fa101dbd098bfc3b78e54330b46c8fe,no,review,,,
OneDrive-2018-07-18 (1)-d1ad59bb4fb84e6c8eecb8a46a44d8ec.zip,archive,.zip,62933986,4f3238e26dafed7623c18e60a30bae115fa101dbd098bfc3b78e54330b46c8fe,no,review,OneDrive-2018-07-18 (1).zip,,
20180320_094925.mp4,video,.mp4,61531370,e29ff7338489d871c5337e0acbd3f8215b901c99413b2d84504f3978229bed72,no,yes,,,
Southern Laos Promotional Video.mp4,video,.mp4,56318736,8d46137aab1a795648908d16e98578e6dc02b585a89191513be2bbade60d5093,no,yes,,,
Waterfall,image,(none),25319346,a94fa395f9b92dd1fd58d9ef0fa5e84ad73bdaf6a56dd73a5f4cee0f6627995e,no,yes,,,
Waterfall-fc1c8e1198be4ac7a2f5c7b9fe00685e,image,(none),24840653,df5cc89c8519731131763109112ea8e92f7738b85c2f470e096c28d9e4455372,no,yes,,,
Coffee plantation 1,image,(none),24635993,da3668298960d2cbcb2d9c4e8c469175c89ab91fb91d9676403919a3564d7e8a,no,yes,,,
Southern Laos Video,image,(none),23240213,43dd82f5d942b21f2274741c0ec95da7c608f7ff4ab01135290547826cfab806,no,yes,,,
Bamboo weaving in Champasak,image,(none),19451011,17f63fce767173a73e6c9c36901ca16e9f265805427b926e5fb74adf6a1e3985,no,yes,,,
Trekking in Bolaven Plateau 1,image,(none),17222404,8155f5d94f133eb6ae2e9f01df52573edd4a66c48478a20199b4ebe6ab37e16b,no,yes,,,
Trekking in Bolaven Plateau,image,(none),16403739,8508572a90fcaa05825e5ef175f2c46e0d859f8fb25607501949aa3c8ce81117,no,yes,,,
Jeep tour,image,(none),16136579,0aa58cf6537002d4c6f8ae8dc1ee8ea43c3412edeb7564c481f088a4e9717097,no,yes,,,
Tad Champee,image,(none),15655331,b9fd29acbaf910f109d9350002524a886b54c50b7d7b79995e5294a56955a5a7,no,yes,,,
2 days tour service.pdf,document,.pdf,15039943,5627e31ea2c48f26eb727d11e96dec6e9bfd2826ad43a653a4db70a37a4792a2,no,yes,,,
VPC-Boat-21.jpg,image,.jpg,14936744,7497ba7e5ef27eea7d8289e7f102b8381ab9c715ee93a1e2fed1660e7f07cebe,no,yes,,,
Wat Tomo temple,image,(none),14655882,efe2fdd526eef91d7b32efcb4938040326241b913cb195f02b7838c2f1e2d683,no,yes,,,
VPC-interior-1.jpg,image,.jpg,14237182,f56ae41bd9f8517e962b0a9d137f3e973818d74d395215eb8c2a6655c24bad8c,no,yes,,,
Trekking in Paksong,image,(none),13252128,d45ccb58ac3290130de478697c8c6519f5a76486639d77a64be9d21d62f7383a,no,yes,,,
VPC-staff-4.jpg,image,.jpg,11947280,788fb02c01dce0f0413010323fdeb6f0bae14b62d5d1fbb3e3ecff4871e85ca2,no,yes,,,
VPC-khong-pha-pheng-waterfall-7.jpg,image,.jpg,11717740,ae8c3a9483182cf221ea69a81be72e75e8cb14fc2960e71af0c54f4dc2bfc5dd,no,yes,,,
New update on 09 Nov 2019 (4 days 3 nights program in the Southern Laos).pdf,document,.pdf,11563114,70f87a9a7231c6196b7db45708b1da34747b3cfb15d544cd3a5719b061a72334,no,yes,,,
New update 4 days 3 nights program in the Southern Laos.pdf,document,.pdf,11562404,1056fb056646b42030027967159a77377447b89bd2109c06b2ef1efe069d2455,no,yes,,,
Tad Champee-2334f85cda5a4c8fb311de1b09fe8148,image,(none),10888159,41c7c872c5420cfa8f536477acf8236b6d77ae13d010066d4699649c275dc4f6,no,yes,,,
Trekking,image,(none),10306316,a6b6a7913f5bb786a7c23c9ca5e62fe87c73ea554ff2d872cbc6c9f2e46bc28b,no,yes,,,
Pottery in Champasak,image,(none),9618065,7c77895aab80b49b3a44c4bc20ea99c3e9fa886ed8152b7cf61560c06c8729cf,no,yes,,,
VPC-Boat-9.jpg,image,.jpg,8838865,65d2cb13daee1e84c1d5869561d0850fe4e9e25fb19d8d3e55c8cdd3e2efee00,no,yes,,,
VPC-Boat-9-eae136371aa14819b78ebac5117b765a.jpg,image,.jpg,8838865,65d2cb13daee1e84c1d5869561d0850fe4e9e25fb19d8d3e55c8cdd3e2efee00,no,yes,VPC-Boat-9.jpg,,
Homemade bread (Pakse Burger66),image,(none),8719668,c0d028e4ad8eef0d5fbc50b873aa1378c08c518b316385555b66da215df54985,no,yes,,,
Ethnic minority,image,(none),8430421,b520fbd31b66d18f089f5b077b3d5d220dbab34e9da6d8a4dc28d04bccb2cbb7,no,yes,,,
Jeep to the volcano,image,(none),8418555,96404f0b4dd3acadab805dc97e598e53cca25b779739259e60cdffefb3fa19f5,no,yes,,,
DSC_2730.JPG,image,.jpg,8398384,b7f3518e6d13fb89ebfb16d2fc7290258d6c82dd87974b567cc70398edcfbc9f,no,yes,,,
Bolaven Plateau,image,(none),8331967,18a392a4bc1c2b02f582029443dfa3f2bae75da28776f125f236c09f1ed1d605,no,yes,,,
BOLAVEN 2 DAYS + 1 NIGHT.pdf,document,.pdf,8210915,5b70fc6ea1e7f82226c4764517b0ea103890b46e98cd67d2a172a20f48394781,no,yes,,,
-21.jpg,image,.jpg,7978776,7f50e5ad0d78adbf7c3d24af1766130a54d91940236f980e5363560ec9aa4445,no,yes,,,
Dan Sinxai in Bolaven Plateau 2,image,(none),7488283,ff77f30ae39b993e7a177a0ea03ddea0173348ec042f0435bc0b38ab91289b27,no,yes,,,
20180617_120235.jpg,image,.jpg,7450142,bfbd782896edde1157c81f23f35d1c84ecc48cdc03bfd27f2f698eabfde87607,no,yes,,,
20180614_115000.jpg,image,.jpg,7262295,1fa8ee01a30a289137d195a03376725a09489f4dbf54e2b7ec6f4506e0d445f5,no,yes,,,
VATPHOU FULL DAY.pdf,document,.pdf,7207938,32fcb1782b20deabab1bc5392b56fc9200a27d4e71b7ed4e77f05e716c2d0992,no,yes,,,
Khonepasoiy,image,(none),6938814,f351697c5767ef6efed2e228e9d56afbb74d6c43660a283d6844be4376345497,no,yes,,,
